127.0.0.1 - - [03/Nov/2020:04:59:46 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:00:44 +0700] "GET /BookStoreWebsite/ HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:00:44 +0700] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:00:44 +0700] "GET /BookStoreWebsite/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:00:44 +0700] "GET /BookStoreWebsite/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:00:44 +0700] "GET /js/jquery-3.5.1.min.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:00:44 +0700] "GET /js/jquery-ui.min.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:00:44 +0700] "GET /js/jquery.validate.min.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:00:44 +0700] "GET /js/jquery-ui.js HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:00:44 +0700] "GET /BookStoreWebsite/images/BookstoreLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:00:44 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:01:46 +0700] "GET /BookStoreWebsite/view_category?id=17 HTTP/1.1" 200 41725
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:01:46 +0700] "GET /css/jquery-ui.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:01:46 +0700] "GET /css/jquery-ui.min.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:01:46 +0700] "GET /js/jquery-3.5.1.min.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:01:46 +0700] "GET /css/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:01:46 +0700] "GET /js/jquery-ui.min.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:01:46 +0700] "GET /js/jquery.validate.min.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:01:46 +0700] "GET /js/jquery-ui.js HTTP/1.1" 404 770
